"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20000101","2000","52","2000","484","MEX","Mexico","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","120000","false","-1","N/A",,"false","120000","false",,"false",,"44000","44000","0","false","false",
"C","A","20000101","2000","52","2000","516","NAM","Namibia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false","3",,"3","0","false","false",
"C","A","20000101","2000","52","2000","528","NLD","Netherlands","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","341635","false","-1","N/A",,"false","341635","false",,"false","197953",,"197953","0","false","false",
"C","A","20000101","2000","52","2000","533","ABW","Aruba","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","70","false","-1","N/A",,"false","70","false",,"false","330",,"330","0","false","false",
"C","A","20000101","2000","52","2000","579","NOR","Norway","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","714","false","8","kg","714","false","714","false","0","false","788.191","0","788.191","0","false","true",
"C","A","20000101","2000","52","2000","598","PNG","Papua New Guinea","M","Import","156","CHN","China","0","W00","World","H0","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6235","false","-1","N/A",,"false","6235","false",,"false","2193",,"2193","0","true","false",
"C","A","20000101","2000","52","2000","600","PRY","Paraguay","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4","false","8","kg","4","false","4","false","0","false","7","5","7","0","false","true",
"C","A","20000101","2000","52","2000","608","PHL","Philippines","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1988356","false","-1","N/A",,"false","1988356","false",,"false","669095",,"669095","0","false","false",
"C","A","20000101","2000","52","2000","620","PRT","Portugal","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17000","false","-1","N/A",,"false","17000","false",,"false","8658",,"8658","0","false","false",
"C","A","20000101","2000","52","2000","634","QAT","Qatar","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","102000","false","-1","N/A",,"false","102000","false",,"false","43131",,"43131","0","false","false",
"C","A","20000101","2000","52","2000","642","ROU","Romania","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50","false","8","kg","50","false","50","false","0","false","71.42","0","71.42","0","false","true",
"C","A","20000101","2000","52","2000","643","RUS","Russian Federation","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","42988","false","-1","N/A",,"false","42988","false",,"false","9990",,"9990","0","false","false",
"C","A","20000101","2000","52","2000","686","SEN","Senegal","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","266","false","-1","N/A",,"false","266","false",,"false","381",,"381","0","false","false",
"C","A","20000101","2000","52","2000","702","SGP","Singapore","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","166350","false","-1","N/A",,"false","166350","false",,"false","87848",,"87848","0","false","false",
"C","A","20000101","2000","52","2000","705","SVN","Slovenia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","159","false","-1","N/A",,"false","159","false",,"false","322",,"322","0","false","false",
"C","A","20000101","2000","52","2000","710","ZAF","South Africa","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","450","false","-1","N/A",,"false","450","false",,"false",,"210","210","0","false","false",
"C","A","20000101","2000","52","2000","724","ESP","Spain","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","192944","false","8","kg","192944","false","192944","false","0","false","134350.157","0","134350.157","0","false","true",
"C","A","20000101","2000","52","2000","757","CHE","Switzerland","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","39640","false","8","kg","39640","false","39640","false","0","false","27628.301","0","27628.301","0","false","true",
"C","A","20000101","2000","52","2000","764","THA","Thailand","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","359900","false","-1","N/A",,"false","359900","false",,"false","248616",,"248616","0","false","false",
"C","A","20000101","2000","52","2000","780","TTO","Trinidad and Tobago","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","978","true","-1","N/A",,"false","978","true",,"false","228",,"228","6","false","false",
"C","A","20000101","2000","52","2000","818","EGY","Egypt","M","Import","156","CHN","China","0","W00","World","H0","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43632167.239","true","-1","N/A","0","false","43632167.239","true","0","false","9728044.865","0","9728044.865","6","false","true",
"C","A","20000101","2000","52","2000","826","GBR","United Kingdom","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","229280","false","-1","N/A",,"false","229280","false",,"false","132104",,"132104","0","false","false",
